[2026-06-08 15:08:16,581] [CROSNavigationNode] ROSNavigationNode initialized.
[2026-06-08 15:08:16,583] [CROSCmdVelNode] ROSCmdVelNode started. topic=/cmd_vel
[2026-06-08 15:08:16,583] [CROSHealthcareNode] ROSHealthcareNode initialized.
[2026-06-08 15:08:16,756] [CGownClassifier] Gown classifier loaded: /home/yeonhu/PyRT/Data/Models/gown_classifier.pth
[2026-06-08 15:08:16,800] [CPatientDetector] YOLO person detector loaded: /home/yeonhu/PyRT/Data/Models/yolov8n.pt
[2026-06-08 15:08:16,835] [CDoorDetector] Door detector loaded: /home/yeonhu/PyRT/Data/Models/door_yolov8n.pt
[2026-06-08 15:08:16,835] [CControlCore] STATUS | source=MPRobotTask | status=ROBOT_TASK_READY
[2026-06-08 15:08:16,862] [CControlCore] STATUS | source=MPRobotTask | status=ROBOT_STOPPED
[2026-06-08 15:08:21,899] [CControlCore] STATUS | source=MPSTT | status=STT_NO_INPUT
[2026-06-08 15:08:21,900] [CControlCore] STATUS | source=MPSTT | status=STT_LISTENING
[2026-06-08 15:08:29,064] [CControlCore] STATUS | source=MPSTT | status=STT_NO_INPUT
[2026-06-08 15:08:29,065] [CControlCore] STATUS | source=MPSTT | status=STT_LISTENING
[2026-06-08 15:08:37,477] [CControlCore] STATUS | source=MPSTT | status=STT_NO_INPUT
[2026-06-08 15:08:37,479] [CControlCore] STATUS | source=MPSTT | status=STT_LISTENING
[2026-06-08 15:08:43,165] [CControlCore] STATUS | source=MPSTT | status=STT_NO_INPUT
[2026-06-08 15:08:43,167] [CControlCore] STATUS | source=MPSTT | status=STT_LISTENING
[2026-06-08 15:08:49,214] [CControlCore] STATUS | source=MPSTT | status=STT_NO_INPUT
[2026-06-08 15:08:49,215] [CControlCore] STATUS | source=MPSTT | status=STT_LISTENING
[2026-06-08 15:08:54,934] [CControlCore] STATUS | source=MPSTT | status=STT_NO_INPUT
[2026-06-08 15:08:54,935] [CControlCore] STATUS | source=MPSTT | status=STT_LISTENING
[2026-06-08 15:09:01,323] [CControlCore] STATUS | source=MPSTT | status=STT_NO_INPUT
[2026-06-08 15:09:01,324] [CControlCore] STATUS | source=MPSTT | status=STT_LISTENING
